"As at 31 December 2009 As at 31 December 2008
Carrying 1% 1% Carrying 1% 1%
amounts increase Decrease amounts increase Decrease"
"9,751 - - 13,695 - -
43,861 (439) 439 28,307 270 (270)
1,061 (11) 11 1,654 8 (8)
6,246 (62) 62 6,993 63 (63)
1,496 - - 3,743 - -
93,543 (935) 935 108,086 1,116 (1,116)
5,921 - - 3,403 - -
62 - - 63 - -
686 - - 546 - -
1,837 - - 2,020 - -
1,503 15 (15) - - -
125,869 1,259 (1,259) 126,408 (632) 632
262 - - 1,401 (56) 56
34 - - 289 (5) 5
3,984 - - 5,130 - -
3,986 40 (40) 9,883 (59) 59
619 - - 432 - -
115 1 (1) 175 - -
4,294 43 (43) 4,329 (27) 27
24,210 - - 20,463 - -
(89) 89 678 (678)
27 (27) (203) 203
(62) 62 475 (475)"
