Column,"Carrying
amount",Fair value,Level 1,Level 2,Level 3
Bank,Shs'million,Shs'million,Shs'million,Shs'million,Shs'million
,19 318,19 318,-,19 318,-
,5 600,5 600,-,-,5 600
,8 220,13 314,-,10 120,3 194
,17 891,17 891,-,-,17 891
,312 166,317 425,-,-,317 425
,8 685,8 685,-,-,8 685
,371 880,382 233,-,29 438,352 795
,13 250,13 250,-,13 250,-
,15 127,15 127,-,-,15 127
,378 425,378 425,-,-,378 425
,16 646,15 896,-,-,15 896
,18 668,18 668,-,-,18 668
,442 116,441 366,-,13 250,428 116
