Column,Column,"3,136,135",Column,"774,707",Column,"2,332,967","3,136,135",Column,"774,707",Column,"2,332,967"
,,"7,371,041",,"2,435,599",,"8,023,325","7,374,329",,"2,460,528",,"8,100,735"
,,"96,844",,"32,196",,"104,109","96,844",,"32,196",,"104,109"
,,"983,099",,"300,427",,"952,258","983,164",,"303,285",,"954,244"
,,"487,222",,"191,825",,"587,991","487,222",,"191,825",,"587,991"
,,"404,709",,"122,413",,"359,299","404,709",,"122,413",,"359,299"
,,"3,238,873",,"998,960",,"2,442,865","3,241,209",,"1,000,304",,"2,455,650"
,,"15,717,923","20,751,564","4,856,127","9,727,530","14,802,814","15,723,612","20,831,705","4,885,258","9,786,409","14,894,995"
,,"8,719,934","10,439,686","2,374,994","4,929,791","7,382,747","8,714,245","10,852,407","2,519,862","5,152,167","7,709,757"
,,-,-,-,-,-,-,-,-,-,-
,,"8,719,934","10,439,686","2,374,994","4,929,791","7,382,747","8,714,245","10,852,407","2,519,862","5,152,167","7,709,757"
,,"(2,996,000)","(3,663,466)
335,126","(765,600)","(1,633,122)
90,305","(2,376,677)","(2,996,000)","(3,792,394)
339,383","(810,715)","(1,702,235)
92,706","(2,475,807)"
,,"341,532",,"38,765",,"94,936","341,532",,"40,420",,"95,964"
,,"6,065,466","7,111,346","1,648,159","3,386,974","5,101,006","6,059,777","7,399,396","1,749,567","3,542,638","5,329,914"
,,,"-
1,157,356
-
-
(347,207)",,"-
543,523
-
-
(163,057)",,,"-
1,157,356
-
-
(347,207)",,"-
543,523
-
-
(163,057)",
,,-,,-,,-,-,,-,,-
,,"1,600,435",,"2,820",,"479,214","1,600,435",,"2,820",,"479,214"
13.3,"Revaluation surplus on property, plant and equipment",-,,-,,-,-,,-,,-
"13.4 Share of other comprehensive income of associates
13.5 Income tax relating to components of other comprehensive income
14 Other comprehensive income for the year net of tax
15 Total comprehensive income for the year
Earnings per share (Shs)
Dividends per share (Shs)",,-,,-,,-,-,,-,,-
,,"(480,130)",,(846),,"(143,764)","(480,130)",,(846),,"(143,764)"
,,"1,120,305","810,149","1,974","380,466","335,450","1,120,305","810,149","1,974","380,466","335,450"
,,"7,185,771","7,921,495","1,650,133","3,767,440","5,436,456","7,180,082","8,209,545","1,751,541","3,923,104","5,665,364"
,,,"1.31
1.00",,"0.62
0.20",,,"1.36
1.00",,"0.65
0.20",
,,1.12,,0.30,,0.94,1.12,,0.32,,0.98
,,-,,-,,-,-,,-,,-
