"Stage 1
12-month ECL","Stage 2
Lifetime ECL","Stage 3
Lifetime ECL",Total
Shs’million,Shs’million,Shs’million,Shs’million
478,169,(6),641
14,(14),-,-
(6),6,-,-
-,-,-,-
(217),(93),8,(302)
160,79,-,239
429,147,2,578
