Column,On demand,Within 1 year,1 – 5 years,"More than 5
years",Total,Total
Group and Bank,Shs’million,Shs'million,Shs'million,Shs'million,Shs'million,Shs'million
,19 318,-,-,-,19 318,19 318
,-,10 415,35 183,7 650,53 248,42 513
,-,76 806,38 209,18 710,133 725,109 042
,-,-,4 664,8 650,13 314,8 220
,5 600,-,-,-,5 600,5 600
,329,19 089,-,-,19 418,17 803
,-,144 599,176 478,80 310,401 387,312 166
,-,8 844,-,-,8 844,8 844
,25 247,259 753,254 534,115 320,654 854,523 506
,13 250,-,-,-,13 250,13 250
,14 634,371,-,-,15 005,14 974
,269 657,118 178,3 135,3 867,394 837,372 383
,-,-,1 599,20 007,21 606,16 646
,1 425,17 363,-,-,18 788,17 319
,-,583,1 284,-,1 867,1 453
,298 966,136 495,6 018,23 874,465 353,436 025
,(273 719),123 258,248 516,91 446,189 501,87 481
,68 977,-,-,-,68 977,68 977
,80 310,-,-,-,80 310,80 310
,3 177,-,-,-,3 177,3 177
,152 464,-,-,-,152 464,152 464
