Bank,Regulatory minimum,"As at 31 Dec 2024
Shs’million","As at 31 Dec 2023
Shs’million"
,,17.0%,
,,20.7%,
,,72 331,
,,2 716,"2 716
59 830"
,,69 877,
,,(262),(2 377)
,,15 579,
,,15 579,19 729
,,87 910,
,,424 835,
,,80 177,
,,19.9%,
,,42.5%,
