Column,Material aspect,How we are responding
"Economic
disruption","The impact of COVID-19 on businesses, households
and communities in Kenya has been devastating. The
World Bank estimates that the pandemic has
increased poverty rates by 4% with 2 million Kenyans
pushed into poverty. In 2021, the Kenyan economy
showcased marked resilience despite the impact of
the virus and the containment measures, particularly
the nightly curfew",
"Competition
and market
pressures","The financial sector in Kenya is highly competitive.
Additionally, customer expectations have evolved
including a younger demographic with distinct
preferences in types of products, services and
channels. A failure to recognise and adapt to changing
competitive forces in appropriate manner could erode
our ability to create value and remain relevant to our
society",
"Regulatory and
policy
environment","We are subject to regulatory oversight as a Bank and
listed entity. A dynamic regulatory and policy
environment continues to present opportunities and
challenges for our business. The pandemic situation
has also exacerbated regulations aimed at cushioning
businesses and households from the effects of the
pandemic, impacting on our business",
"Environmental
and social
aspects
including
climate change","Environmental and social aspects are important in
enabling us to remain sustainable. The spectre of
climate change and its effects has far reaching
ramifications for key sectors like agriculture and
tourism. Additionally, stakeholders expect companies
to play a leading role in societal development
including contributing to the Sustainable
Development Goals (SDGs)",
Fraud,"Several aspects of our external context create serious
fraud risks including the proliferation of personal
identifiable data, social engineering challenges that
encourage fraud and weak remedial responses",
