Column,Policy,Details
Notice period,"All executive directors and prescribed officers have a six-month
notice period, with their potential compensation for loss of
office being six months’ fixed remuneration","Executive directors may be
required to work during the notice
period, or may be placed on
garden leave, or if not required to
work, the full notice period may
be provided with pay in lieu of
notice (subject to mitigation where
relevant)."
"Treatment of annual bonus
on termination","There is no automatic entitlement to bonus on termination,
but it may be considered at the Remuneration Committee’s
discretion and subject to performance measures being met
and pro rata for service. No bonus will be payable in the case of
gross misconduct or resignation.",
"Treatment of unvested
deferred bonus awards","Outstanding deferred bonus awards would lapse if the
executive officer leaves by reason of resignation or termination
for gross misconduct. However, in the case of death, or if the
executive director is an eligible leaver defined as leaving due
to injury, disability or ill health, retirement, redundancy, or
in circumstances where Barclays Bank of Kenya terminates
the employment, he/she would continue to be eligible to be
considered for unvested portions of deferred awards – subject
to the rules of the relevant plan – unless the Remuneration
Committee determines otherwise in exceptional cases.","In an eligible leaver situation,
deferred bonus awards may be
considered for release in full on
the scheduled release date unless
the Remuneration Committee
determines otherwise in
exceptional circumstances."
