"2021
Shs’million",Column,"2021
Shs’million"
8 297,"8 971
166
22 303",8 247
646,,646
23 095,,23 095
32 038,31 440,31 988
,"(1 595)
(5 984)
(298)
(182)",
(411),,(411)
(5 998),,(6 095)
(242),,(242)
(130),,(130)
(6 781),(8 059),(6 878)
