"Corporate
Banking
Shs’million","Consumer
Banking
Shs’million","Total
Shs’million"
867,5 523,6 390
1 059,376,1 435
34,1 589,1 623
1 960,7 488,9 448
(242),(357),(599)
1 718,7 131,8 849
722,4 701,5 423
1 059,376,1 435
1 781,5 077,6 858
(242),(357),(599)
1 539,4 720,6 259
