item,0,2,1,3,4
2023 Shs’million,2023 Shs’million,,,,
54 263,54 263,,,,
(14 219),(14 219),,,,
40 044,40 044,,,,
7 876,7 876,,,,
(556),(556),,,,
7 320,7 320,,,,
6 284,6 284,,,,
55,55,,,,
53 703,53 703,,,,
(8 374),(8 374),,,,
45 329,45 329,,,,
(11 923),(11 923),,,,
(1 849),(1 849),,,,
(6 889),(6 889),,,,
(851),(851),,,,
(139),(139),,,,
(21 651),(21 651),,,,
23 678,23 678,,,,
(7 311),(7 311),,,,
16 367,16 367,,,,
12,12,,,,
(4),(4),,,,
8,8,,,,
(4 519),(4 519),,,,
1 355,1 355,,,,
(3 164),(3 164),,,,
(3 156),(3 156),,,,
13 211,13 211,,,,
3.01,3.01,,,,
2023 Shs'million,2023 Shs'million,,,,
(226),(226),,,,
6 510,6 510,,,,
None,2023 Shs'million,2023 Shs'million,,,
9 421 - 751 30 681,9 124,9 079,,,
40 853,54 263,54 218,,,
(965) (6 976) (483) (114),(304),(304),,,
33,,33,46 (39),,
22,,40,None,,
Corporate Banking Shs'million,,Total Shs'million,Consumer Banking Shs'million,,
683,,5 073,4 390,,
1 014,,1 543,529,,
,,1 260,1 260,,
1 697,,7 876,6 179,,
(164),,(556),(392),,
1 533,,7 320,5 787,,
648,,4 841,4 193,,
1 662,,6 384,4 722,,
1 498,,5 828,4 330,,
Stage 1,,Stage 3,Stage 2,Total,
Shs'million,,Shs'million,Shs'million,Shs'million,
(963),,(6 710),(701),(8 374),
Collectively assessed,,None,None,None,
(667),,(5 218),(616),(6 501),
Individually assessed,,None,None,None,
2,,-,-,2,
(376),,(2 252),(107),(2 735),
43,,-,-,43,
47,,6,19,72,
(12),,-,3,(9),
(296),,(2 246),(85),(2 627),
Stage 1 Stage 2 Stage 3 Total,Stage 1,Stage 3,Stage 2,,
Shs'million Shs'million Shs'million Shs'million,Shs'million,Shs'million,Shs'million,,
(8 381) (179) (83) (549) (676) (55) (6) (746),(9 433),(9 227),,,
(10 675),(11 923),(11 672),,,
2 130,2 130,,,,
590,590,,,,
Level 1 Level 3,,,Level 2,Total,
Shs'million Shs'million,,,Shs'million,Shs'million,
Carrying amount Fair value Level 1 Level 2 Level 3,,Level 1,,Level 2,Level 3
Shs'million Shs'million Shs'million Shs'million Shs'million,,Shs'million,,Shs'million,Shs'million
Level 1,Carrying amount,,Fair value,Level 2,Level 3
Interest received Interest paid Recharges,,,,,
Relationship Shs'million Shs'million Shs'million,,,,,
Absa Asset Management,,Absa Securities Limited,Absa Bancassurance Intemediary Limited,,
Shs’ million,,Shs’ million,Shs’ million,,
224,,79,1 484,,
(110),,(93),(166),,
114,,(14),1 318,,
80,,(9),921,,
Parent,,3 337,661,1 123,
Sister,,245,-,-,
Subsidiary,,222,-,18,
8 650 19 57 135 20 - - -,27 092,27 092,,,
8 881,27 287,27 888,,,
(60 798),(16 324),(16 324),,,
