"Up to 1
month","1 - 3
months","4 - 12
months","Over 1
year","Non-
interest
bearing",Total
Shs'million,Shs'million,Shs'million,Shs'million,Shs'million,Shs'million
-,-,-,-,24 211,24 211
-,12 268,553,22 406,7 678,42 905
1 017,4 000,19 867,65 701,-,90 585
4 957,-,-,-,-,4 957
8 608,-,-,-,273,8 881
214 992,2 854,13 107,52 626,-,283 579
229 574,19 122,33 527,140 733,32 162,455 118
9 018,-,-,-,-,9 018
3 959,24 270,5 549,27 020,-,60 798
99 115,45 523,60 528,98 585,-,303 751
-,-,19 773,-,-,19 773
112 092,69 793,85 850,125 605,-,393 340
117 482,(50 671),(52 323),15 128,32 162,61 778
