Column,Up to 1 month,1 - 3 months,4 - 12 months,Over 1 year,"Non-interest
bearing",Total
2025,Shs'million,Shs'million,Shs'million,Shs'million,Shs'million,Shs'million
,-,-,-,-,19 318,19 318
,6,4,9 779,32 724,1 052,43 565
,10 750,12 000,50 154,36 138,-,109 042
,-,-,-,8 220,-,8 220
,5 600,-,-,-,-,5 600
,17 803,-,-,-,-,17 803
,274 833,1 324,4 136,31 873,-,312 166
,308 992,13 328,64 069,108 955,20 370,515 714
,13 036,-,214,-,-,13 250
,1 815,13 159,-,-,-,14 974
,278 839,27 626,49 228,16 690,-,372 383
,3 226,12 905,515,-,-,16 646
,296 916,53 690,49 957,16 690,-,417 253
,12 076,(40 362),14 112,92 265,20 370,98 461
