"Fair Value
through
Profit/Loss","Fair Value
through OCI
- Debt
instruments","Amortised
Cost - Debt
instruments","Amortised
cost financial
liabilities","Total Assets
and Liabilities","Off balance
sheet
financial
instruments"
Shs'million,Shs'million,Shs'million,Shs'million,Shs'million,Shs'million
-,-,24 211,-,24 211,-
2 867,-,-,-,2 867,-
-,-,283 579,-,283 579,50 459
42 905,90 585,-,-,133 490,-
-,-,4 957,-,4 957,-
-,-,8 881,-,8 881,-
-,-,8 386,-,8 386,-
45 772,90 585,330 014,-,466 371,50 459
1 233,-,-,-,1 233,-
-,-,-,19 773,19 773,-
-,-,-,9 018,9 018,-
-,-,-,303 751,303 751,-
-,-,-,60 798,60 798,-
-,-,-,18 927,18 927,57 645
1 233,-,-,412 267,413 500,57 645
-,9 421,31 432,-,41 045,-
-,-,-,(8 538),(8 538),-
-,9 421,31 432,(8 538),32 507,-
