"Fair Value through Profit/
Loss","Fair Value through OCI - Debt
instruments","Amortised Cost - financial
instruments","Amortised cost financial
liabilities",Total Assets and Liabilities,"Off balance sheet financial
instruments"
Shs'million,Shs'million,Shs'million,Shs'million,Shs'million,Shs'million
-,-,29 599,-,29 599,-
3 198,-,-,-,3 198,-
-,-,335 714,-,335 714,68 605
20 446,73 274,1 062,-,94 782,-
-,-,1 721,-,1 721,-
-,-,27 888,-,27 888,-
-,-,13 005,-,13 005,-
23 644,73 274,408 989,-,505 907,68 605
3 250,-,-,-,3 250,-
-,-,-,24 024,24 024,-
-,-,-,13 047,13 047,-
-,-,-,11 685,11 685,-
-,-,-,366 903,366 903,-
-,-,-,16 324,16 324,-
-,-,-,18 851,18 851,54 294
3 250,-,-,450 834,454 084,54 294
(226),9 080,45 138,-,53 992,-
-,-,-,(14 470),(14 470),-
(226),9 080,45 138,(14 470),39 522,-
