Freehold buildings,Right of use assets,Leasehold improvements,Fixtures fittings and equipment,Motor vehicles,Work in progress,Total
Shs'million,Shs'million,Shs'million,Shs'million,Shs'million,Shs’million,Shs'million
135,3 638,2 786,4 953,41,20,11 573
-,177,45,72,-,228,522
-,(5),-,(129),-,-,(134)
-,-,-,217,-,(217),-
135,3 810,2 831,5 113,41,31,11 961
(90),(1 934),(2 288),(3 957),(22),-,(8 291)
(1),(500),(45),(375),(4),-,(925)
-,5,-,129,-,-,134
(91),(2 429),(2 333),(4 203),(26),-,(9 082)
44,1 381,498,910,15,31,2 879
