Director,Independence,Age,"Tenure as at 31
December 2019
(years and months)",Nationality,Gender
Charles Muchene,Independent,62,3 yrs 4 mths,Kenyan,
Ashok Shah,Independent,71,8 yrs 6 mths,Kenyan,
Winnie Ouko,Independent,49,5 yrs 4 mths,Kenyan,
Patricia Ithau,Independent,54,3 yrs 10 mths,Kenyan,
Laila Macharia,Independent,49,5 yrs 4 mths,Kenyan,
Japheth Olende,Independent,66,2 yrs 10 mths,Kenyan,
Louis Otieno,Independent,55,2 yrs 10 mths,Kenyan,
Jeremy Awori,Non-Independent,49,6 yrs 11 mths,Kenyan,
Yusuf Omari,Non-Independent,46,10 yrs 7 mths,Kenyan,
