Corporate Banking,Consumer Banking,Total
Shs’million,Shs’million,Shs’million
12 640,30 648,43 288
1 718,7 131,8 849
6 568,1 303,7 871
-,16,16
20 926,39 098,60 024
(384),(4 487),(4 871)
20 542,34 611,55 153
(75),(1 085),(1 160)
(1 487),(12 318),(13 805)
(3 495),(3 963),(7 458)
(5 057),(17 366),(22 423)
15 485,17 245,32 730
(4 648),(5 177),(9 825)
10 837,12 068,22 905
