Director,Ordinary (Scheduled) Meetings,Column,Column,Column,Special Meetings,Column,Column,Column
,24.02.15,21.05.15,07.08.15,22 & 23.10.15,06.03.15,13.08.15,27.08.15,30.11.15
Francis Okomo-Okello,√,√,√,√,√,√,√,√
Jeremy Awori,√,√,√,√,√,√,√,√
Yusuf Omari,√,√,√,√,√,√,√,√
Rose Ogega,√,√,N/A,N/A,√,N/A,N/A,N/A
Brown Ondego,√,N/A,N/A,N/A,x,N/A,N/A,N/A
Jane Karuku,√,N/A,N/A,N/A,x,N/A,N/A,N/A
Ashok Shah,√,√,√,√,x,√,√,x
Laila Macharia,√,√,√,√,√,√,√,√
Winnie Ouko,√,√,√,√,√,√,√,√
Norah Odwesso,√,√,√,x,√,√,√,x
Philip Kinisu,N/A,N/A,N/A,√,N/A,N/A,√,√
