P&L Indicators (Kshs bn),2024,2025,YoY
Income,62.3,61.4,(2%)
Net Interest Income,46.2,43.3,(6%)
Non Funded Income,16.1,18.1,12%
Operating Costs,(23.5),(22.4),(5%)
Impairment,(9.1),(6.2),(32%)
Profit Before Tax,29.7,32.7,10%
Profit After Tax,20.9,22.9,10%
Balance Sheet (Kshs bn),,,
Customer Assets,309.1,312.2,1%
Government Securities,97.1,115.1,19%
Customer Liabilities,367.1,372.4,1%
Total Assets,506.5,537.6,6%
