item,0,2,1,3,4
31 440,31 440,,,,
(8 059),(8 059),,,,
23 381,23 381,,,,
6 234,6 234,,,,
(716),(716),,,,
5 518,5 518,,,,
5 129,5 129,,,,
53,53,,,,
34 081,34 081,,,,
(8 585),(8 585),,,,
25 496,25 496,,,,
(11 312),(11 312),,,,
(1 361),(1 361),,,,
(5 830),(5 830),,,,
(1 022),(1 022),,,,
(324),(324),,,,
(19 849),(19 849),,,,
5 647,5 647,,,,
(1 484),(1 484),,,,
4 163,4 163,,,,
59,59,,,,
(18),(18),,,,
41,41,,,,
1 144,1 144,,,,
(343),(343),,,,
801,801,,,,
842,842,,,,
5 005,5 005,,,,
0.77,0.77,,,,
Corporate Banking Shs’million Consumer Banking Shs’million Total Shs’million,,,,,
107 12 170,,,,,
None,,,,,
289,53,63,,,
486,,4 262,3 776,,
507,,1 258,751,,
7,,714,707,,
1 000,,6 234,5 234,,
(393),,(7 298),(894),,
(81),,(716),(635),,
919,,5 518,4 599,,
(579),(192),(5 209),,,
438,,3 987,3 549,,
945,,5 245,4 300,,
- (365) - (32) 82,(1),-,,,
(315) -,(201),(2 100),,,
864,,4 673,3 809,,
681,681,,,,
4 448,4 448,,,,
Stage 1 Shs’million,Stage 1 Shs’million,,,,
Stage 3 Shs’million,Stage 3 Shs’million,,,,
(7 298),(7 298),,,,
(579) -,(192),(5 654),,,
(315),(201),(2 089),,,
(459),(412),(3 328),,,
(207),(295),(2 309),,,
(252) -,(117),(1 045),,,
(252),(117),(1 019),,,
Level 1 Level 2 Level 3 Total,Level 1,Level 3,Level 2,,
Shs’million Shs’million Shs’million Shs’million,Shs’million,Shs’million,Shs’million,,
,,,36 375,36 375,
Carrying amount Fair value Level 1 Level 2 Level 3,,Level 1,,Level 2,Level 3
Shs’million Shs’million Shs’million Shs’million Shs’million,,Shs’million,,Shs’million,Shs’million
39,39,,,,
Relationship Interest received Interest paid Recharges,,,,,
Shs’million Shs’million Shs’million,,,,,
Parent,,739,6,1 509,
2020 Shs’million,2020 Shs’million,,,,
18 436,18 436,,,,
8 364 2 33 44 76 185 - - -,2 071,2 071,,,
8 704,2 676,2 934,,,
21 397,21 397,,,,
19 800,19 800,,,,
38 377,38 377,,,,
79 574,79 574,,,,
