Name,Number of shares held
Francis Okomo- Okello,"28,400"
Philip Kinisu,Nil
Ashok Kumar Mepa Shah,"544,380"
Jeremy Awori,"57,300"
Yusuf Kungu Omari,"100,000"
Winnie Ouko,Nil
Norah Chieng’ Odwesso,Nil
Laila Macharia,Nil
