Member,Ordinary (Scheduled) Meetings,Column,Column,Column
,9.2.15,22.4.15,22.7.15,9.10.15
Brown Ondego,√,√,N/A,N/A
Jane Karuku,√,√,N/A,N/A
Francis Okomo-Okello,√,√,√,√
Ashok Shah (Chairperson),√,√,√,√
Laila Macharia,√,√,√,√
Winnie Ouko,√,×,√,√
Jeremy Awori,√,√,√,√
James Agin,√,√,√,√
Zahid Mustafa,√,√,√,√
Humphrey Muturi,√,√,√,√
William Arogo,√,√,×,√
Christine Marandu,√,√,√,√
Hannah Gitau,√,√ (Rep),√,√
Paul Asamba,√,√,√,√
