Column,On demand,Within 1 year,1 – 5 years,"More than 5
years",Total,Total
Group and Bank,Shs’million,Shs'million,Shs'million,Shs'million,Shs'million,Shs'million
,24 416,-,-,-,24 416,24 416
,-,20 105,9 277,16 617,45 999,33 470
,-,78 353,39 514,14 542,132 409,96 068
,-,-,1 107,-,1 107,1 049
,8 086,-,-,-,8 086,8 086
,174,7 950,-,-,8 124,7 289
,-,149 766,210 308,81 686,441 760,309 098
,-,11 362,-,-,11 362,11 362
,32 676,267 536,260 206,112 845,673 263,490 838
,7 045,-,-,-,7 045,7 045
,963,5 688,-,-,6 651,6 054
,234 380,144 126,10 335,-,388 841,367 115
,-,-,1 945,32 522,34 467,19 731
,1 896,17 942,-,-,19 838,17 954
,-,667,1 457,-,"2,124",1 633
,244 284,168 423,13 737,32 522,458 966,419 532
,(211 608),99 113,246 469,80 323,214 297,71 306
,27 434,-,-,-,27 434,27 434
,62 805,-,-,-,62 805,62 805
,20 876,-,-,-,20 876,20 876
,111 115,-,-,-,111 115,111 115
