Column,Column,"2020
Shs’ million"
Total Assets,259 718 271 572 325 313 374 904,"379,441"
Net Loans and advances to customers,168 510 168 397 177 354 194 895,"208,855"
Liability,"217 330 227 474 281 107 329 715
178 180 185 977 207 408 237 739
42 388 44 098 44 207 45 189
259 718 271 572 325 313 374 904","332,936"
Deposits due to customers,,"253,630"
Total Equity,,"46,505"
Total equity and liabilities,,"379,441"
Net advances to deposits (%),95 91 86 82,82
