Computer software,WIP,Total
Shs'million,Shs'million,Shs'million
4 416,223,4 639
-,693,693
715,(715),-
(36),-,(36)
5 095,201,5 296
(3 980),-,(3 980)
(210),-,(210)
3,-,3
(4 187),-,(4 187)
908,201,1 109
