Non-executive directors,Date of appointment,Total emoluments 2024 (Shs)
,22 August 2016,11 390 400
,7 March 2018,8 974 200
,23 February 2016,8 427 400
,7 March 2018,8 102 250
,9 February 2022,6 679 400
,1 October 2020,5 551 400
,1 November 2022,5 210 200
,24 June 2020,4 630 500
,2 October 2024,1 077 250
,August 2014,-
,,60 043 000
