Stage 1,Stage 2,Stage 3,Total
Shs’million,Shs’million,Shs’million,Shs’million
3 341,2 965,10 245,16 551
2 023,( 188),(1 835),-
( 294),1 941,(1 647),-
(1 306),(2 144),3 450,-
(4 103),(1 452),(433),(5 988)
-,-,(6 480),(6 480)
4 399,615,9 117,14 131
4 060,1 737,12 417,18 214
