"Effects of
offsetting in the
SOFP",Related amounts not offset,Column,Column
"Amounts
presented in the
SOFP","Amounts subject
to master netting
agreement","Financial
instrument
collateral","Net
amount"
Shs’million,Shs’million,Shs’million,Shs’million
283 579,-,(1 993),281 586
283 579,-,(1 993),281 586
303 751,-,(1 993),301 758
303 751,-,(1 993),301 758
