item,0,1,3,5
(23 156),(23 156),,,
31 440,31 440,,,
(8 059),(8 059),,,
(2 478),(2 478),,,
(2 253),(2 253),,,
(555),(555),,,
(120),(120),,,
(675),(675),,,
(412),(412),,,
(3 663),(3 663),,,
(4 075),(4 075),,,
(7 003),(7 003),,,
20 132,20 132,,,
13 129,13 129,,,
None 529 - 35 072 (200) None,,2 716,188,4 888
None None None None,,-,-,-
None 529 34 872 None,,2 716,188,4 888
Profit for the year Other comprehensive loss for the year - (253) 7 161 (69) 7 161 (322),,-,-,-
None (253) 7 092 None,,-,-,-
None - - - - - - (1 086) (4 888) None,,,,
None 276 35 990 None,,2 716,209,4 888
Profit for the year Other comprehensive loss for the year - 795 3 745 41 3 745 836,,-,-,-
None 795 - - - 3 786 - - 1 225 None,,-,-,-
None 1 071 41 001 None,,2 716,183,-
