Indicators,H1 2022,H1 2021,Column
Cost to Income Ratio,42%,45%,Marked improvement (300 bps)
Loan Loss Rate,2.3%,1.8%,"Increase occasioned by book growth and macro
overlay release in 2021"
Yield on Loans,10.4%,9.5%,CBR(2) increase impact
Cost of Funds,2.4%,2.3%,Impacted by volatility in the market
ROE(1),23%,22%,"Recovery in ROE(1) drove better earnings and
Optimization of capital"
Interim Dividend (Kshs),0.2,-,"Strong capital position allows capital
distribution with an interim dividend"
