9.3%,Column,Column,Column,Column,Column,Column,Column
,8.9%,,,,,,
,,7.5%,,,,,
,,,5.7%,5.5%,,,
,,,,,5.1%,,
,,,,,,4.3%,
,,,,,,,3.7%
