2019,Column,2019
Shs’million,,Shs’million
7 456,"7 416
7 711
(3 230)
(1 086)
(4 888)
44 206",7 161
7 139,,6 839
(3 296),,(3 167)
(1 086),,(1 086)
(4 888),,(4 888)
45 189,,44 079
