Legislation,Intention of legislation,Our response
,"Changed the risk weight of residential mortgages fully
secured by first charge from 50% to 35%. The aim of the
amendment being to free capital for banks to increase
their mortgage lending.","Absa effected the reduction of the risk weight from 50%
to 35% from 1st July 2021, with a view of improving the
uptake of mortgage products."
,"The Act amended various laws whose intention was:
a) Companies Act, 2015 – Amendment provided
for virtual meetings by amending the definition
of “general meetings” to include physical,
hybrid or virtual.
b) Law of Contract Act – Amendment aligned
signing requirements for contracts for
disposition of an interest in land (sale
agreements, leases, transfers, licenses, etc.) to
new requirements under section 37 of the
Companies Act, 2015 for body corporates
incorporated under the Companies Act, 2015.
c) Small Claim Courts Act, 2016 – The Act
provides for fast tracking of small claims by
providing for a 60-day timeline for adjudication
of such claims.
d) Stamp Duty Act – The Act exempts land sale
agreements from payment of Shs 100/- fixed
stamp duty.
e) Payment dates for PAYE, NSSF, NHIF and NITA
have all been aligned to 9th of the subsequent
month.","Absa has aligned to the various legislative changes to
ease doing business as follows:
a) Companies Act, 2015 – Provided capacity and
technology that enabled virtual shareholder
and other meetings.
b) Law of Contract Act – Made requisite changes
to enable business to be conducted in line with
the changes i.e. to remove the need for sealing
of documents with a Company Seal.
c) Small Claim Courts Act, 2016 – We are, with
support of our external advocates, arranging to
re-direct the cases that meet small claims
requirements to the Small Claims Court and
ensure fast tracking of small claims within the
stipulated 60-day timelines.
d) Stamp Duty Act – Incorporated changes within
its processes to exempt land sale agreements
from payment of Shs 100 fixed stamp duty.
e) PAYE, NSSF, NHIF and NITA payments have
been internally aligned to be submitted by the
9th of the subsequent month."
,"The Act amends the Employment Act, 2007 (the
Employment Act) to provide for one-month pre-adoption
leave with full pay.","Absa has aligned its internal employee policies/standards
to align to the one-month pre-adoption leave with full
pay."
,"The Finance Act, 2021 became effective on 1st July 2021.
It provided that all fees and commissions related to loans
be subject to Excise Duty at a rate of 20%.","Absa communicated this requirement to its customers
and effected the changes."
,"CBK’s intention is to ensure banks implement climate-
related risk management practices.","Sustainability is a principal risk in Absa’s Enterprise Risk
Management Framework. Climate-related risk is a
sub-risk under sustainability. Absa has started to
incorporate sustainability as part of its strategy.
Embedment of the requirements of the guideline is
ongoing with the intention to meet the set regulatory
deadlines."
,"Suspend for a period of 12 months listing of negative
credit information of borrowers with loans below Shs 5
million. This is specifically for loans that were performing
previously but have become non-performing from 1st
October 2021.","Absa shall not blacklist customers with loans below Shs 5
million that fall in arrears from 1st October 2021 to 30th
September 2022. No negative credit information for
borrowers with loans below Shs 5 million shall be shared
with the Credit Reference Bureaus during the period of
this directive."
