Director,Independence,Age,"Date of
Appointment","Tenure
(years and months)",Nationality,Gender
Charles Muchene,Independent Non-Executive,63,22 August 2016,4 yrs 4 mths,Kenyan,
Ashok Shah,Independent Non-Executive,72,21 July 2011,9 yrs 6 mths,Kenyan,
Winnie Ouko,Independent Non-Executive,50,11 August 2014,6 yrs 2 mths,Kenyan,
Patricia Ithau,Independent Non-Executive,55,23 February 2016,4 yrs 10 mths,Kenyan,
Laila Macharia,Independent Non-Executive,50,11 August 2014,6 yrs 4 mths,Kenyan,
Japheth Olende,Independent Non-Executive,67,7 March 2018,3 yrs 10 mths,Kenyan,
Louis Otieno,Independent Non-Executive,56,7 March 2018,3 yrs 10 mths,Kenyan,
Jeremy Awori,Executive,50,1 February 2013,7 yrs 11 mths,Kenyan,
Yusuf Omari,Executive,47,1 June 2009,11 yrs 7 mths,Kenyan,
Charles Murito,Independent Non-Executive,44,24 June 2020,7 mths,Kenyan,
Fulvio Tonelli,Non-Executive,60,1 October 2020,3 mths,South African,
