(1 164),329,69 877,8 419,80 177
"-
1 767","-
-","20 946
10","-
-","20 946
1 777"
1 767,-,20 956,-,22 723
"33
-
-
-
-","-
87
-
-
-","-
-
-
(1 086)
(10 048)","-
-
(8 419)
-
10 048","33
87
(8 419)
(1 086)
-"
636,416,79 699,10 048,93 515
