"Balance at 1
January","Recognised in
profit or loss","Recognised in
other
comprehensive
income","Balance at 31
December"
Shs'million,Shs'million,Shs'million,Shs'million
411,(11),-,400
(169),-,875,706
(78),4,-,(74)
3 157,412,-,3 569
61,(1),-,60
67,(558),-,(491)
142,25,-,167
817,468,-,1 285
263,-,(3),260
67,(24),-,43
4 738,315,872,5 925
