Column,"Effects of
offsetting in the
SOFP",Related amounts not offset,Column,Column
,"Amounts
presented in the
SOFP","Amounts subject
to master netting
agreement","Financial
instrument
collateral",Net amount
2025,Shs’million,Shs’million,Shs’million,Shs’million
,312 166,-,(2 449),309 717
,312 166,-,(2 449),309 717
,372 383,-,(2 449),369 934
,372 383,-,(2 449),369 934
