Indicators,1H 2020,1H,20,19,B/(W) vs. PY
Cost to Income Ratio (adjusted)(1),49%,,51%,,Marked improvement (200% bps)
Loan Loss Rate,5.4%,,1.8%,,Adversely impacted by impairment provisions
Net Interest Margins,7.7%,,8.3%,,Yoy CBR drop impact
Yield on Loans,10.3%,1,1.4%,,Yoy CBR drop impact
Cost of Funds,2.7%,,3.0%,,Better that prior period
Coverage Ratio,64%,,73%,,Adequate coverage ratio
