(1 181),329,74 922,8 419,85 205
"-
1 790","-
-","22 905
10","-
-","22 905
1 800"
1 790,-,22 915,-,24 705
"27
-
-
-
-","-
88
-
-
-","-
-
-
(1 086)
(10 048)","-
-
(8 419)
-
10 048","27
88
(8 419)
(1 086)
-"
636,417,86 703,10 048,100 520
