Column,"(3 644)
-",Column,"(3 526)
-"
(4 014),,(3 885),
70,,75,
(3 944),(3 644),(3 810),(3 526)
,"265
(56)",,"256
(56)"
631,,621,
83,,83,
714,209,704,200
(3 230),(3 435),(3 106),(3 326)
