Corporate Banking,Consumer Banking,Total
Shs'million,Shs'million,Shs'million
5 545,17 634,23 179
4 104,6 485,10 589
9 649,24 119,33 768
(941),(3 260),(4 201)
8 708,20 859,29 567
(207),(1 256),(1 463)
(1 764),(15 588),(17 352)
(1 971),(16 844),(18 815)
6 737,4 015,10 752
(1 587),(1 709),(3 296)
5 150,2 306,7 456
