"Total number of scheduled
meetings",Main Board,"Audit and Risk
Committee","Corporate Governance,
Nominations and
Remuneration Committee",Credit Committee,Strategy Committee
,4,8,4,4,4
Members,Attended,Attended,Attended,Attended,Attended
Charles Muchene,4,,4,,4
Patricia Ithau,4,7 (8),4,,
Laila Macharia1,4,7 (8),,4,4
Louis Otieno,4,8,,,4
Japheth Olende,4,,4,4,
Charles Murito,4,,4,3 (4),
Fulvio Tonelli4,3 (4),8,,4,0 (0)
Jeremy Awori5,4,,,,3 (4)
Yusuf Omari,4,,,,
Christine Sabwa2,4,7 (8),,,
,1 (1),1 (1),,,
