-,-,-,-,16 354,16 354
-,-,9 608,-,-,9 608
4 663,1 729,19 212,32 872,-,58 476
1 818,-,-,-,-,1 818
3 465,-,-,-,-,3 465
22 461,5 790,13 689,126 457,-,168 397
395,-,-,-,-,395
-,-,-,-,8 001,8 001
-,-,-,-,2 741,2 741
-,-,-,-,1 159,1 159
-,-,-,-,415,415
-,-,-,-,697,697
-,-,-,-,46,46
32 802,7 519,42 509,159 329,29 413,271 572
3 059,-,-,-,-,3 059
1 913,-,-,-,-,1 913
23 658,-,-,-,-,23 658
153 244,17 619,14 689,425,-,185 977
-,-,-,-,4,4
-,5 172,-,-,-,5 172
-,-,-,-,7 237,7 237
454,-,-,-,-,454
,,,,44 098,44 098
182 328,22 791,14 689,425,51 339,271 572
(149 526),(15 272),27 820,158 904,(21 926),-
