"L
&
P",Indicators,FY,201,9,FY2018,Comment
,Income,33.,8 bn,,31.8 bn,"7% growth driven balance sheet
Expansion, NFI & lower COF"
,NII,23.,2 bn,,22.0 bn,"5% growth driven by lower COF &
Yields"
,NFI,10.,6 bn,,9.7 bn,"9% growth driven by Timiza & digital
transactions"
,Normalized Cost,(17.,3 bn,),(17.2 bn),1% growth contained below inflation
,Impairment,(4.,2 bn),,(3.9 bn),9% growth (in line with business growth)
,Normalized PBT,12.,3 bn,,10.6 bn,15% growth
"t
e
e
h
s
e
c
n
a
l
a
B",Customer Assets,194,.9 b,n,177.4 bn,10% growth powered by all segments
,Customer Liabilities,237,.7 b,n,207.4 bn,15% growth powered by all segments
,Total Assets,373,.9 b,n,324.8 bn,15% growth powered by all segments
,Government Securities Balance (excl. trading),79.,2 bn,,63.2 bn,"25% growth in-line with an optimized
investment profile"
"s
n
r
u
t
e
R",Total Dividend,Ke,s 1.1,,Kes 1.1,"Interim dividend KES 0.2, final dividend 0.9"
,Normalized EPS,1.56,,,1.37,
