item,1,2,3,0
GROUP BANK,None,None,None,
None,"31 March 2013 Shs ‘000 Unaudited 5,724,651 9,338,427 - 893,615 - - - - 46,344,761 46,344,761 - 200,000 332,066 - 108,213,447 7,469,851 - - - - 2,606,394 58,489 3,317,343 68,816 - 4,805,625","31 March 31 December 2012 2012 Shs ‘000 Shs ‘000 Unaudited Audited 4,324,773 6,733,037 8,414,400 9,752,786 - - 609,557 788,513 - - - - - - - - 41,974,313 47,535,593 41,974,313 47,535,593 - - 1,000,000 - 571,088 166,441 - - 100,274,070 104,204,295 6,811,126 4,065,943 - - 275,678 275,678 - - - - 2,996,888 2,669,775 59,751 58,739 3,262,394 3,452,907 23,706 - 1,374,463 - 4,291,616 5,397,863","31 March 2013 Shs ‘000 Unaudited 5,724,651 9,338,427 - 893,615 - - - - 46,344,761 46,344,761 - 200,000 332,066 - 108,213,447 7,469,851 - 275,678 - - 2,606,394 58,489 3,317,343 68,816 - 4,805,625",
"31 March 2013 Shs ‘000 Unaudited 3,754,159 -",,,,"31 March 2013 Shs ‘000 Unaudited 3,754,159 -"
"3,754,159",,,,"3,754,159"
"2,980,234 773,925 284,818",,,,"2,980,234 773,925 284,818"
"469,107",,,,"469,107"
"113,435 8,869,646",,,,"113,435 8,869,646"
"8,983,081",,,,"8,983,081"
"30,151,822 4,088,365 5,048,950",,,,"30,151,822 4,088,365 5,048,950"
"39,289,137",,,,"39,289,137"
"25,603,224 1,000,000",,,,"25,603,224 1,000,000"
"24,603,224",,,,"24,603,224"
"3,584,210",,,,"3,584,210"
"29,187,434",,,,"29,187,434"
"127,997,262 18.3% 8.0%",,,,"127,997,262 18.3% 8.0%"
10.3%,,,,10.3%
20.0% 8.0%,,,,20.0% 8.0%
12.1%,,,,12.1%
22.9% 12.0%,,,,22.9% 12.0%
10.9%,,,,10.9%
45.8% 20.0%,,,,45.8% 20.0%
25.8%,,,,25.8%
