"2020
Shs’million",Column,"2020
Shs’million"
8 971,"8 101
378
22 545",8 925
166,,166
22 303,,22 303
31 440,31 024,31 394
,"(963)
(6 454)
(289)
(139)",
(1 595),,(1 595)
(5 984),,(6 038)
(298),,(298)
(182),,(182)
(8 059),(7 845),(8 113)
