item,0,1,2,3,4
2022 Shs’million,2022 Shs’million,,,,
40 853,40 853,,,,
(8 538),(8 538),,,,
32 315,32 315,,,,
6 739,6 739,,,,
(566),(566),,,,
6 173,6 173,,,,
6 838,6 838,,,,
7,7,,,,
45 333,45 333,,,,
(5 824),(5 824),,,,
39 509,39 509,,,,
(10 675),(10 675),,,,
(1 055),(1 055),,,,
(6 047),(6 047),,,,
(756),(756),,,,
(127),(127),,,,
(18 660),(18 660),,,,
"20,849","20,849",,,,
(6 262),(6 262),,,,
14 587,14 587,,,,
11,11,,,,
(3),(3),,,,
8,8,,,,
(2 916),(2 916),,,,
875,875,,,,
(2 041),(2 041),,,,
(2 033),(2 033),,,,
12 554,12 554,,,,
2.69,2.69,,,,
40 808,40 808,,,,
(8 677),(8 677),,,,
32 131,32 131,,,,
5 473,5 473,,,,
4 907,4 907,,,,
25,25,,,,
43 901,43 901,,,,
(5 747),(5 747),,,,
38 154,38 154,,,,
(10 405),(10 405),,,,
(1 054),(1 054),,,,
(5 994),(5 994),,,,
(116),(116),,,,
(18 325),(18 325),,,,
19 829,19 829,,,,
(5 963),(5 963),,,,
13 866,13 866,,,,
(2 898),(2 898),,,,
869,869,,,,
(2 029),(2 029),,,,
(2 021),(2 021),,,,
11 845,11 845,,,,
2.55,2.55,,,,
Corporate Banking,,Consumer Banking,Total,,
Shs'million,,Shs'million,Shs'million,,
586,,3 687,4 273,,
899,,484,1 383,,
,,1 083,1 083,,
1 485,,5 254,6 739,,
(151),,(415),(566),,
1 334,,4 839,6 173,,
553,,3 537,4 090,,
1 452,,4 021,5 473,,
1 301,,3 606,4 907,,
192,192,,,,
6 646,6 646,,,,
46,,40 62,46,,
(39),,None,(21),,
Total Shs’million,Stage 1 Shs’million,Stage 2 Shs’million,Stage 3 Shs’million,,
405,,(305),(4 724),(4 624),
9,,-,-,9,
(2),,-,-,(2),
(154),,4,(1 475),(1 625),
5,,-,-,5,
(9),,57,(6),42,
(82),,-,-,(82),
(59),,(20),-,(79),
(292),,41,(1 481),(1 732),
(155),,4,(1 475),(1 626),
(4),,-,-,(4),
(215),,41,(1 481),"(1,655)",
Level 1 Shs'million,,Level 2 Shs'million,Level 3 Shs'million,Total Shs'million,
Level 1,Carrying amount,Fair value,,Level 2,Level 3
