Bank,Regulatory minimum,"As at 31 Dec 2024
Shs’million","As at 31 Dec 2023
Shs’million"
,,18.3%,
,,21.0%,
,,82 414,
,,2 716,"2 716
69 877"
,,79 698,
,,-,(262)
,,12 122,
,,12 122,15 579
,,94 536,
,,450 231,
,,93 515,
,,22.3%,
,,45.6%,
