"Freehold
buildings","Right of
use assets","Leasehold
improvements","Fixtures
fittings and
equipment","Motor
vehicles","Work in
progress",Total
Shs'million,Shs'million,Shs'million,Shs'million,Shs'million,Shs’million,Shs'million
135,1 871,2 817,4 756,19,194,9 792
-,573,-,134,-,322,1 029
-,-,(31),(172),-,-,(203)
-,-,-,425,-,(425),-
-,-,-,-,-,(13),(13)
135,2 444,2 786,5 143,19,78,10 605
(86),(1 161),(2 184),(3 974),(18),-,(7 423)
(2),(355),(85),(313),(1),-,(756)
-,-,31,172,-,-,203
(88),(1 516),(2 238),(4 115),(19),-,(7 976)
47,928,548,1 028,-,78,2 629
