At 31 December 2012,Column,Column
"Carrying
amount","1%
increase","1%
Decrease"
"16,486",-,-
"1,115",(11),11
789,-,-
"47,536",(475),475
167,(1),1
"4,066",(41),41
"104,204","(1,042)","1,042"
"4,284",-,-
"2,667",-,-
59,-,-
"3,452",-,-
"1,125",-,-
"3,008",(30),30
"1,724",17,(17)
"1,985",18,(18)
"137,915",854,(854)
"4,096",-,-
"4,499",45,(45)
"1,125",-,-
223,-,-
664,-,-
"29,182",-,-
,(637),637
,191,(191)
,(446),446
