item,0,1,2,3,4,5
2024,2024,,,,,
Shs'million,Shs'million,,,,,
64 727,64 727,,,,,
(18 499),(18 499),,,,,
46 228,46 228,,,,,
8 074,8 074,,,,,
(628),(628),,,,,
7 446,7 446,,,,,
7 272,7 272,,,,,
43,43,,,,,
60 989,60 989,,,,,
(7 761),(7 761),,,,,
53 228,53 228,,,,,
(13 274),(13 274),,,,,
(2 419),(2 419),,,,,
(6 667),(6 667),,,,,
(926),(926),,,,,
(222),(222),,,,,
(23 508),(23 508),,,,,
29 720,29 720,,,,,
(8 844),(8 844),,,,,
20 876,20 876,,,,,
(123),(123),,,,,
37,37,,,,,
(86),(86),,,,,
5 125,5 125,,,,,
(1 537),(1 537),,,,,
3 588,3 588,,,,,
3 502,3 502,,,,,
24 378,24 378,,,,,
3.84,3.84,,,,,
64 654,64 654,,,,,
(19 049),(19 049),,,,,
45 605,45 605,,,,,
6 539,6 539,,,,,
5 911,5 911,,,,,
61,61,,,,,
58 849,58 849,,,,,
(7 756),(7 756),,,,,
51 093,51 093,,,,,
(13 032),(13 032),,,,,
(2 413),(2 413),,,,,
(6 539),(6 539),,,,,
(925),(925),,,,,
(210),(210),,,,,
(23 119),(23 119),,,,,
27 974,27 974,,,,,
(8 336),(8 336),,,,,
19 638,19 638,,,,,
5 105,5 105,,,,,
(1 531),(1 531),,,,,
3 574,3 574,,,,,
3 488,3 488,,,,,
23 126,23 126,,,,,
3.62,3.62,,,,,
Corporate Banking,,Consumer Banking,Total,,,
754,,4 848,5 602,,,
1 015,,393,1 408,,,
34,,1 030,1 064,,,
1 803,,6 271,8 074,,,
(193),,(435),(628),,,
1 610,,5 836,7 446,,,
667,,4 465,5 132,,,
1 014,,393,1 407,,,
1 681,,4 858,6 539,,,
1 488,,4 423,5 911,,,
1 227,1 227,,,,,
6 045,6 045,,,,,
None,2024,,2024,,,
33 22,,,,,,
55,43,,61,,,
Stage 1,,Stage 2,Stage 3,Total,,
920,,(369),(8 312),(7 761),,
Collectively assessed,,None,None,None,,
654,,312,(7 885),(6 919),,
,,-,986,986,,
(14),,-,-,(14),,
1,,-,-,1,,
213,,(444),(1 589),(1 820),,
11,,-,-,11,,
23,,(47),(38),(62),,
46,,(190),-,(144),,
266,,(681),(1 627),(2 042),,
925,,(369),(8 312),(7 756),,
Individually assessed,,None,None,None,,
16,,-,-,16,,
271,,(681),(1 627),(2 037),,
None Level 1 Level 3,,,Level 2,,Total,
Recurring fair value measurements Shs'million Shs'million,,,Shs'million,,Shs'million,
Recurring fair value measurements Shs'million Shs'million Shs'million Shs'million,,,,,,
None Level 1,,Carrying amount,Fair value,,Level 2,Level 3
Group – 2024 Shs'million,,Shs'million,Shs'million,,Shs'million,Shs'million
Bank Shs'million,,Shs'million,Shs'million,,Shs'million,Shs'million
Segmental reporting (continued),,Shs'million,Shs'million,Shs'million,,
None None None None,,,2024,,2024,
Relationship Shs'million Shs'million,,,Shs'million,,Shs'million,
None None 27 092 38 74 58 25 - - - None,,,7 207,,7 207,
None None 27 287 None,,,7 289,,7 626,
(16 324),(6 054),,(6 068),,,
