Stage 1,Stage 2,Stage 3,Total
Shs’million,Shs’million,Shs’million,Shs’million
(1 061),1 652,(5 468),(4 877)
Collectively assessed,,,
(719),1 227,(5 990),(5 482)
-,-,1 216,1 216
(719),1 227,(4 774),(4 266)
Individually assessed,,,
(29),16,-,(13)
-,-,-,-
(118),205,(734),(647)
(33),-,-,(33)
(138),68,35,(35)
(24),136,-,112
(342),425,(699),(616)
-,-,5,5
(342),425,(694),(611)
