Barclays Bank Rating,Description of the Grade,External Rating S&P equivalent
DG 1-5,Investment Grade,"AAA, AA+, AA-, A+, A -"
DG 6 -16,Standard Monitoring,"BBB+, BBB, BBB-, BB+, BB, BB-, B+, B, B-"
DG 17-21,Special Monitoring,CCC to C
