Wholesale and retail trade,Transportation and communication,Agricultural,Private individuals,Energy,Other,Total
Shs’ million,Shs’ million,Shs’ million,Shs’ million,Shs’ million,Shs’ million,Shs’ million
"-
-
84
-
-
-
80 109","-
-
23
-
-
-
15 333","-
-
58
-
-
-
14 640","-
-
-
-
-
-
126 498","-
-
-
-
-
-
11 621","-
-
198
-
-
-
8 705","19 318
5 600
1 052
42 513
109 042
8 220
312 166"
80 193,15 356,14 698,126 498,11 621,8 903,497 911
