Column,"Group and Company
Cr/(Dr) to Cr (Dr) to
1.1.2009 profit and loss comprehensive 31.12.2009"
,"income
Shs million Shs million Shs million Shs million"
,"- (123) - (123)
(444) (107) - (551)
- - (54) (54)
19 57 - 76
(7) 40 - 33"
Net deferred tax liability,(432) (133) (54) (619)
"Deferred tax liabilities
Retirement benefit asset
Deferred tax assets
Property and equipment on historical cost
Provisions",
,"Group and Company
Cr/(Dr) to
1.1.2008 profit and loss 31.12.2008
Shs million Shs million Shs million"
,"(444) - (444)
38 (45) (7)
28 (9) 19"
Net deferred tax liability,(378) (54) (432)
