Director,"Ordinary
(Scheduled) Meetings",Column,"Special
(Adhoc) Meetings",Column
,"Meetings Eligible
to Attend","Meetings
Attended","Meetings Eligible
to Attend","Meetings
Attended"
Francis Okomo-Okello,4,4,4,4
Jeremy Awori,4,4,4,4
Yusuf Omari,4,4,4,3
Rose Ogega,4,4,4,3
Brown Ondego,4,4,4,4
Jane Karuku,4,4,4,1
Ashok Shah,4,4,4,4
