Systems rolled out or enhanced in 2017,Column,Column
Project name,Purpose,Benefits and unique features
"Robotic Process Automation
(RPA) Wave 1","Goal: Increase the processing capability
within an operational environment
Driver: The core back office operations
are primarily manual, with approximately
60-70% of our core processes requiring
manual input into systems that are heavily
dependent on human resource capabilities.
Approximately 50% of these inputs are
standard and repetitive in nature and can
be automated
With increased volumes and rationalisation
on operating costs, there is need for
alternative automated solution to cut costs
while enhance processing efficiency
Cost: Shs 22mn","• Fully robotised 8 processes targeted for Wave 1
• Reduced resource utilisation by 48 man hours per day
on the 8 robotised operations processes
• Estimated cost save of up to Shs 18.3m per year
• Reduction in Turn-Around-Time (TAT) by up to 50%
• Reduction in error rates due to elimination of manual
touch points"
IDEA System Upgrade,"Goal: Upgrade system latest supportable
version
Driver: The CaseWare IDEA Analytics
System is the Bank’s primary reconciliations
system currently processing over 90%
(10m transactions per month)
Cost: Shs 2mn","• Cost reduction in processing reconciliations
• Audit trail capability
• Archiving of desktop projects that enables efficient
space management and reduces storage costs
• Fuzzy logic support – facilitates analysis of large
volumes of data to determine unusual trends e.g.
fraudulent transactions
• Resolved stability issues related to random system
crashes
• Resolved performance issues including faster report
generation"
SHM (USSD) Monitoring,"Goal: Proactively monitor availability of the
Hello Money application connectivity to the
mobile network operators (Safaricom, Airtel
and Telkom) and the aggregator (Cellulant)
Driver: Hello Money is a strategic
application for the Bank. It gives new
meaning to banking anytime, anywhere.
Its availability and performance is therefore
extremely crucial for a seamless and reliable
customer experience
Cost: Shs 3.1mn (USD 30,000)","• Improved availability of the channel towards support
on digital agenda
• Improved perception and believability on the channel"
