"Within 12
months",After 12 months,Total
Shs'million,Shs'million,Shs'million
24 211,-,24 211
4 957,-,4 957
12 921,29 984,42 905
2 025,842,2 867
23 973,66 612,90 585
8 881,-,8 881
66 827,216 752,283 579
9 352,-,9 352
748,-,748
-,47,47
-,2 629,2 629
-,516,516
-,32,32
-,5 925,5 925
153 895,323 339,477 234
9 018,-,9 018
659,574,1 233
60 798,-,60 798
205 166,98 585,303 751
-,19 773,19 773
18 927,-,18 927
121,-,121
294 689,118 932,413 621
(140 794),204 407,63 613
