Executive Directors,Non-Executive Directors
"Effectively lead Barclays towards the achievement
of its strategic objectives and implement the
strategic decisions taken by he Board.","Provide constructive challenge to the executive
Directors and senior management of the Bank."
"Ensure that the Board receives relevant, accurate,
clear and timely information necessary for it to
fulfil its duties.","Help develop proposals on strategy and then fully
empower and support the executive Directors to
implement the strategy."
"Report regularly to the Board on the performance
of the Bank.","Scrutinise the performance of Management in
meeting agreed goals and objectives and monitor
the reporting of performance, ensuring that
individual business decisions conform to agreed
strategies and policies."
"Use their technical knowledge and experience
in the Bank and banking industry to assist the
Board in consideration of strategic issues and to
ensure that decisions taken are in the Bank’s best
interests.","Apply their judgement to the business of the
Board, leveraging on their knowledge of the
business and bringing to bear a different range
of knowledge, experience and insight from other
industries."
"Put the interests of the Bank before those of their
specific area of responsibility and manage any
conflicts of interest that may arise.","Satisfy themselves on the integrity of financial
information and that financial controls and systems
of risk management are robust and defensible."
