Director,Skills and Industry Experience,Category,Age,Date of Appointment,Tenure,Nationality,Gender
"Charles
Muchene","Risk Management, Strategy,
Corporate Governance, Audit,
Accounting and Financial Advisory,
Citizenship and Sustainability,
Financial Services","Independent
Non-Executive",64,22 August 2016,5 yrs 4 mths,Kenyan,Male
"Patricia
Ithau","Retail and Consumer, Strategy,
Brand Management, Consumer
Goods","Independent
Non-Executive",56,23 February 2016,5 yrs 10 mths,Kenyan,Female
"Laila
Macharia","Investment Banking, Assets and
Liabilities, Legal and commercial
services and advisory","Independent
Non-Executive",51,11 August 2014,7 yrs 4 mths,Kenyan,Female
"Japheth
Olende","Insurance, Financial Services, Risk
Management, Bancassurance","Independent
Non-Executive",68,7 March 2018,3 yrs 9 mths,Kenyan,Male
"Louis
Otieno","Information Technology, Strategy,
Marketing","Independent
Non-Executive",57,7 March 2018,3 yrs 9 mths,Kenyan,Male
"Jeremy
Awori","Business Management, Financial
Accounting, Financial Services,
Strategy and Corporate
Governance",Executive,51,1 February 2013,8 yrs 10 mths,Kenyan,Male
"Yusuf
Omari","Financial advisory, Financial
Accounting, Business
Management, Strategy and
Corporate Governance",Executive,48,1 June 2009,12 yrs 6 mths,Kenyan,Male
"Charles
Murito","Media, Information Technology,
Digital Space, Sales","Independent
Non-Executive",45,24 June 2020,1 yr 6 mths,Kenyan,Male
"Fulvio
Tonelli","Audit, Risk and Quality, Finance, IT,
Strategy",Non-Executive,61,1 October 2020,1 yr 2 mths,"South
African",Male
,"Corporate governance, Banking,
Business Strategy, Operational
risk, Policy formulation, Financial
Management, modeling, Auditing.","Independent
Non-Executive",49,9 February 2022,1 mth,Kenyan,
