Barclays Bank Rating,Description of the Grade,External Rating SandP equivalent
DG 1 – 11,Investment Grade,"AAA, AA+, AA-, A+, A -"
DG 12 – 19,Standard Monitoring,"BBB+, BBB, BBB-, BB+, BB, BB-, B+,
B, B-"
DG 20 – 21,Special Monitoring,CCC to C
