Column,"Carrying
amount",Fair value,Level 1,Level 2,Level 3
Bank,Shs'million,Shs'million,Shs'million,Shs'million,Shs'million
,24 347,24 347,-,24 347,-
,8 069,8 069,-,-,8 069
,1 049,1 107,-,1 107,-
,7 626,7 626,-,-,7 626
,309 098,318 980,-,-,318 980
,350 189,360 129,-,25 454,334 675
,7 045,7 045,-,7 045,-
,6 068,6 068,-,-,6 068
,371 874,371 874,-,-,371 874
,19 730,12 340,-,-,12 340
,19 491,19 491,-,-,19 491
,424 208,416 818,-,7 045,409 773
