"Balance at 1
January","Prior year
adjustment*","Recognised in
profit or loss","Recognised in other
comprehensive
income","Balance at 31
December"
Shs’million,Shs’million,Shs’million,Shs’million,Shs’million
315,-,(77),-,238
524,-,-,(767),(243)
(204),-,11,-,(193)
4 620,-,(946),-,3 674
64,-,(18),-,46
(108),-,100,-,(8)
385,-,217,-,602
1 639,-,-,-,1 639
294,-,-,(4),290
490,-,(54),-,436
(416),-,56,-,(360)
7 603,-,(711),(771),6 121
